hex_id,tipologia_label,morfologia_continua,espontaneo,dist_centro_km,vitalidad_vecinal,dim1,dim2,dim3,barrio_km2,pct_barrio,pct_host,div_actividad,terrazas_ext_km2,n_parques_500m,dist_mercado_km,n_mercados_500m,dist_parque_km,airbnb_ent_km2,vut_km2,renta_persona,densidad_pob_km2,log_renta,log_densidad,log_bc_mean,log_airbnb,ps,asoc_km2,socios_km2,n_asoc,n_mercadillos_1km,cv_pob,n_socios,d_asociativo,n_barrio,n_mdl,n_div,d_comercio,n_arraigo,d_arraigo,vit_comunitaria
89390cb0b57ffff,Espontáneo,0.6406719318628726,1.0,6.512635261377711,0.5356996916675955,0.3594115680374457,0.630558341691742,0.6171291652735986,0.0,0.0,0.2857142857142857,1.7478680974667578,0.0,2.0,1.594830390147496,0.0,0.331358053948997,9.230759780760089,0.0,,,,,8.575872429405155,2.3253988470746862,,0.0,0.0,0.32012704781009693,1.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.8538950183884988,0.5529923102641258,0.5565028418589101,,,0.4383149448345035
89390ca764fffff,Transición,0.5366973717676554,,14.915086476655938,0.2494613470039748,0.2435083026858352,0.3317452357071213,0.173130502618968,0.0,0.0,0.0,0.0,0.0,0.0,6.834353182229854,0.0,6.621699848715036,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca2bcbffff,Espontáneo,0.2580249079359406,1.0,11.834863052481536,0.4018444221553549,0.6115011701771982,0.3317452357071213,0.2622868605817453,18.48136977689936,0.25,0.375,2.079441541679836,0.0,0.0,3.75519231893382,0.0,3.565726599774306,0.0,0.0,,,,,5.583535720791788,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.6058174523570712,0.371782012704781,0.5922768304914744,0.5232920985177755,,,0.4217095731639362
89390cb1eb3ffff,Planificado,0.6293342275044608,0.0,4.801173659866622,0.3596065975704892,0.2435083026858352,0.3317452357071213,0.503566254318511,0.0,0.0,0.0,0.0,0.0,0.0,2.6815749989460933,0.0,0.5097013937621023,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390ca2393ffff,Espontáneo,0.2221217496260065,1.0,5.877448411041478,0.7129258144804784,0.6706787027749916,0.8222166499498496,0.6458820907165942,36.93112910857014,0.3636363636363636,0.1818181818181818,2.0198149924929463,9.232782277142537,2.0,2.039955492156491,0.0,0.058588626828156,9.232782277142537,9.232782277142537,17615.069431500466,16727.509815905476,9.77651003237986,9.724869717443768,8.527217339592005,2.3255965153359592,0.4343145065597944,0.0,0.0,0.32012704781009693,2.0,0.0180940937803424,0.32012704781009693,0.32012704781009693,0.6469408224674023,0.9775994650618522,0.5840855901036442,0.7362086258776329,0.8905472636815921,0.8905472636815921,0.6489609791231074
89390cb1a97ffff,Espontáneo,0.4225134568311935,1.0,2.9477099601136163,0.6868847282588506,0.8774100078011813,0.5547475760615179,0.6284966009138526,221.2997257359706,0.5106382978723404,0.1489361702127659,3.3375890425014907,0.0,1.0,1.3426849336354718,0.0,0.3566010504602036,18.441643811330884,0.0,18343.239783653848,24112.935664665296,9.81701638144468,10.09054519570759,7.154168527988683,2.9674173536534836,0.4377225292912321,36.88328762266177,2720.1424621713054,0.9114008692744902,0.0,0.035560128897803744,0.8291541290538281,0.8702774991641591,0.8538950183884988,0.371782012704781,0.8288197927114678,0.6848322746015825,0.49419568822553894,0.49419568822553894,0.6831018206637601
89390cb0d83ffff,Transición,0.5147510541572045,,11.44050916131264,0.2871670567257327,0.2435083026858352,0.3317452357071213,0.2862476317842416,0.0,0.0,0.0,0.0,0.0,0.0,4.210586863988353,0.0,2.0971272577300355,0.0,0.0,,,,,6.96272043193985,0.0,,9.231307503288308,110.77569003945969,0.7288532263457038,0.0,,0.6673353393513874,0.6980942828485457,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.48899476206396975
89390cbab83ffff,Espontáneo,0.4314039474433695,1.0,5.577187361057837,0.4869887440098071,0.2435083026858352,0.5547475760615179,0.6627103532820684,0.0,0.0,0.0,0.0,0.0,1.0,1.3100957218210745,0.0,0.252624931640887,0.0,0.0,16736.0,2899.1613341285565,9.72531736686465,7.97252164688526,0.0,0.0,0.6218638306098753,0.0,0.0,0.32012704781009693,1.0,0.0137100999361539,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.8538950183884988,0.20528251420929455,0.4405995765072997,0.9626865671641791,0.9626865671641791,0.5744710638271919
89390ca32d3ffff,Planificado,0.6357626045851476,0.0,5.698432872708143,0.6443311415728669,0.5611835506519559,0.6557171514543632,0.7160927226122813,9.221076249325066,0.25,0.25,1.3862943611198906,0.0,3.0,0.5270806559491944,0.0,0.3507041410540185,9.221076249325066,0.0,,,,,7.933473690953412,2.3244518873841815,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.536275493146105,0.371782012704781,0.5108659311267135,0.47297447899253314,,,0.396550763401315
89390cb29d7ffff,Planificado,0.6102865181828059,0.0,15.0840246394806,0.248866971284223,0.2435083026858352,0.3317452357071213,0.1713473754597125,0.0,0.0,0.0,0.0,0.0,0.0,7.930425902319787,0.0,3.988472214928634,0.0,0.0,,,,,3.8766760619662777,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390cb0e43ffff,Espontáneo,0.3073681522020367,1.0,6.652565233601238,0.7680820238493258,0.8162821798729523,0.8241390839184219,0.6638248077566031,175.2781653792562,0.3653846153846153,0.173076923076923,3.383007118717829,46.12583299454111,1.0,1.188584992062446,0.0,0.2857447320856043,27.67549979672466,0.0,13954.125,45969.96429591898,9.543530442463933,10.73576526521544,8.450918530131396,3.35604309256623,0.6246505976233273,27.67549979672466,2536.9208146997607,0.8716148445336008,0.0,0.0255018623313763,0.8234704112337011,0.847542627883651,0.8228017385489803,0.371782012704781,0.8418589100635239,0.6788142204390951,0.7097844112769486,0.7097844112769486,0.7453804198665649
89390ca2eb7ffff,Planificado,0.531883924389624,0.0,9.511847586870845,0.3155484973438835,0.2435083026858352,0.3317452357071213,0.3713919536386939,0.0,0.0,0.0,0.0,0.0,0.0,2.5825612960498296,0.0,1.5399403244295518,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.2626211969241056,0.371782012704781,0.20528251420929455,0.27989524127939375,,,0.3000111445447453
89390cb54abffff,Transición,0.5062133236871986,,11.844527972460469,0.3897711653478955,0.6186336788142205,0.3317452357071213,0.2189345815223448,18.475322507304625,0.2857142857142857,0.1428571428571428,1.945910149055314,0.0,0.0,6.367017576316536,0.0,2.550434078919326,9.237661253652313,0.0,,,,,6.782663775348057,2.326073200327647,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.6041457706452691,0.371782012704781,0.5762286860581746,0.5173854898027416,,,0.41875626880641925
89390cb0a27ffff,Planificado,0.8180353672896208,0.0,6.059595215121642,0.7621847022549129,0.7654073331104424,0.8489635573386827,0.6721832163156135,101.5271471237312,0.34375,0.125,3.16248401130475,18.459481295223856,2.0,0.9583279379578196,0.0,0.3349199284492974,36.91896259044771,0.0,30901.0,6275.775937936668,10.33854382482173,8.744611741955822,6.893154971874591,3.635451319165745,0.1906993305815967,18.459481295223856,1070.6499151229837,0.8204613841524574,0.0,0.0147025340069689,0.7522567703109327,0.7863590772316951,0.7542627883650953,0.371782012704781,0.7876964226011367,0.637913741223671,0.9444444444444444,0.9444444444444444,0.7895724209666035
89390ca2a9bffff,Planificado,0.6110006459432209,0.0,9.739465352336172,0.4915765815966418,0.7182101861138973,0.3317452357071213,0.4247743229689067,55.42727266650308,0.375,0.125,2.599301927099795,0.0,0.0,1.6652361210286335,0.0,1.491378636154192,0.0,0.0,,,,,7.149475479948923,0.0,,0.0,0.0,0.32012704781009693,0.0,,0.32012704781009693,0.32012704781009693,0.6873955198930124,0.371782012704781,0.6686726847208292,0.5759500724395409,,,0.4480385601248189
89390cb1d83ffff,Espontáneo,0.368106857787877,1.0,5.990717503111775,0.660630038262937,0.67207177086816,0.5083584085590104,0.8014599353616405,46.1207247294054,0.25,0.15,2.857102837442002,9.22414494588108,0.0,0.296961147842621,1.0,0.7316217586885096,0.0,0.0,21022.99952539155,23996.487881739464,9.95337233288945,10.08570443225744,6.858662550658337,0.0,0.2014082339369888,27.672434837643245,2656.5537444137512,0.8682714811099966,1.0,0.037393327478925834,0.825810765630224,0.8470411233701103,0.6589769307923772,0.8538950183884988,0.7208291541290538,0.7445670344366433,0.46434494195688225,0.46434494195688225,0.6853176999212119
