hex_id,bc_mean,bc_max,bc_sum,bc_n,log_bc_mean,log_bc_max
89390cb505bffff,0.003122862873698622,0.003684549014613646,0.006245725747397244,2,8.046825615533518,8.21217477985271
89390cb5063ffff,0.00175376484447133,0.0023591964086726734,0.00876882422235665,5,7.470090135168041,7.766500118570574
89390cb5067ffff,0.00029290436923599397,0.0019259447928937567,0.007029704861663855,24,5.683254439717886,7.563691018753194
89390cb506bffff,9.218164644953144e-05,0.00015320449552675986,0.00027654493934859434,3,4.534550775791802,5.038279614574301
89390cb506fffff,0.0014338954510561375,0.004534178101817951,0.025810118119010475,18,7.268847269132692,8.419619634505306
89390cb5077ffff,0.0010216339265815531,0.0019776497182336277,0.008173071412652425,8,6.930136858881747,7.590169930559687
89390cb5083ffff,7.360947499124456e-05,0.00015899901302174538,0.0005152663249387119,7,4.312267509751046,5.075167646600709
89390cb5087ffff,0.0005037919067783119,0.0007560253430545386,0.0025189595338915597,5,6.224146278567403,6.629396731152544
89390cb508bffff,4.9085112092530355e-05,0.00013945047597822282,0.0003435957846477125,7,3.913723800107152,4.944854942495901
89390cb5093ffff,0.0001418255913910026,0.0005257728676493999,0.002836511827820052,20,4.961624245270622,6.266769464460361
89390cb5097ffff,0.0001160177019325671,0.0002210831290394473,0.0003480531057977013,3,4.762325221922231,5.403051766914098
89390cb509bffff,0.00026506856192615055,0.0006569454614919291,0.0034458913050399572,13,5.583754027171532,6.489122042619519
89390cb50a3ffff,0.0003855328090674648,0.0007533509503645453,0.003855328090674648,10,5.957216752050766,6.625857711130912
89390cb50a7ffff,0.0003440768923273938,0.0006841987965232896,0.0030966920309465442,9,5.843767268509411,6.529709010060929
89390cb50abffff,0.0010664459231430482,0.0010822375752172946,0.0021328918462860964,2,6.9730240863424084,6.987709590641749
89390cb50afffff,0.0011736285777961732,0.002492725015123054,0.009389028622369386,8,7.068707272603601,7.821532861589709
89390cb50b3ffff,0.00037520031413501445,0.0005738482600528512,0.0011256009424050434,3,5.930121751887885,6.354106110410531
89390cb50bbffff,0.0005027221497023146,0.0006768123786175937,0.0020108885988092584,4,6.222024825781828,6.5188705219415555
89390cb50c3ffff,1.0527768049497492e-05,3.1583304148492476e-05,3.1583304148492476e-05,3,2.4447587378752194,3.4838000144985237
89390cb50cbffff,0.0011405409277595595,0.0036259670794995067,0.018248654844152952,16,7.040134319693773,8.196152062732063
89390cb5143ffff,0.0008617624199072287,0.002799579738291573,0.024991110177309633,29,6.760139357594262,7.937581724121376
89390cb5147ffff,0.0001818351192097571,0.0004786526154923748,0.004909548218663441,27,5.20858475878301,6.173062124167624
89390cb514bffff,0.003665573561717979,0.009471998471775607,0.10263605972810341,28,8.207012870531276,9.156200764551295
89390cb514fffff,0.0004577893559920068,0.0010888598809258494,0.007782419051864116,17,6.128591185317413,6.993804417350668
89390cb5153ffff,0.002112165302938648,0.003981533955235761,0.03801897545289567,18,7.65594224595162,8.28967356785853
89390cb5157ffff,0.00011512623770256933,0.0005073068228851603,0.0023025247540513867,20,4.754677855441631,6.231085247312131
89390cb515bffff,0.0013668281568283713,0.006160718265465313,0.03280387576388091,24,7.220979473938571,8.726110956830174
89390cb516bffff,0.00014063909495155318,0.00021815403228374035,0.000843834569709319,6,4.953282237443235,5.389774826347567
89390cb517bffff,0.00019953941014783452,0.0003810372823076189,0.0011972364608870071,6,5.3010107867721885,5.945518201508157
89390cb51c3ffff,0.0009782310562502549,0.0021093953962240124,0.010760541618752804,11,6.886767627196967,7.654630600489866
89390cb51c7ffff,0.0010492279283008056,0.0017538921965041868,0.005246139641504028,5,6.956762494166489,7.470162707519941
89390cb51cbffff,0.001182081568977045,0.001182081568977045,0.001182081568977045,1,7.07587781255408,7.07587781255408
89390cb51cfffff,0.0008096261438519964,0.0031975548409691494,0.028336915034819873,35,6.6978069661438795,8.070454374583175
89390cb51dbffff,0.0006578049680819183,0.002778057244738769,0.010524879489310694,16,6.490427539383003,7.929867028572724
89390cb5203ffff,0.0019360866456921732,0.007498105638511256,0.021296953102613904,11,7.568940394307521,8.92253904421527
89390cb5207ffff,0.011035206469483269,0.017418701646025027,0.055176032347416346,5,9.308936643886643,9.765357123165968
89390cb520bffff,0.0011483049798182406,0.009714285714285715,0.02066948963672833,18,7.046912673279483,9.181455770981321
89390cb520fffff,0.0067590817918431025,0.019499060778757682,0.11490439046133274,17,8.818790268348888,9.878172861406348
89390cb5213ffff,0.004841351205068611,0.007529688942659748,0.009682702410137222,2,8.485155667925975,8.926741809657809
89390cb521bffff,0.004263280735311046,0.010851730395746443,0.055422649559043594,13,8.358028802166004,9.292171976687765
89390cb5223ffff,0.0012688932047077801,0.0037750963099748482,0.0038066796141233406,3,7.146688085135533,8.236446032759734
89390cb5227ffff,2.8824010103261273e-05,7.984972460122895e-05,0.00025941609092935145,9,3.3953137772659074,4.392592179724537
89390cb522bffff,0.005089385208061384,0.011465185138017767,0.04071508166449107,8,8.535108786064404,9.347157560034097
89390cb522fffff,0.0020033559619028756,0.008287433538157854,0.054090610971377635,27,7.603078072131217,9.022616272271856
89390cb5233ffff,0.0036478079531344523,0.003862205100448916,0.010943423859403357,3,8.20215580505266,8.259252454823763
89390cb5237ffff,0.0036841669585150755,0.0036841669585150755,0.0036841669585150755,1,8.212071111199542,8.212071111199542
89390cb523bffff,0.0024812951701741544,0.00392263364003948,0.004962590340348309,2,7.816938883018416,8.274773452422261
89390cb5243ffff,0.003247336080339025,0.011963895698685091,0.06169938552644147,19,8.085898168939389,9.389732283103065
89390cb5247ffff,0.0056458279322426546,0.041033971154764565,0.11856238657709575,21,8.638849238559164,10.62217993712131
89390cb524bffff,0.016572040840817308,0.052442293610111754,0.215436530930625,13,9.715532608418902,10.867487743115715
89390cb524fffff,0.01743038088870494,0.052270814097870044,0.20916457066445926,12,9.766027360201244,10.864212577396474
89390cb5253ffff,0.0019405159798065066,0.006034002992772773,0.025226707737484585,13,7.571224379787609,8.705331629434205
89390cb5257ffff,0.0038285008951378465,0.011387818778057246,0.09954102327358401,26,8.25048975909759,9.34038734413241
89390cb525bffff,0.002421448811305222,0.003504409564137668,0.03390028335827311,14,7.792534213017508,8.162062644036583
89390cb5263ffff,0.00019759516911288698,0.0004187971600496673,0.0029639275366933047,15,5.291268426606697,6.039771642355711
89390cb5267ffff,0.000483778534814862,0.000967557069629724,0.000967557069629724,2,6.183692157402893,6.875807406903172
89390cb5273ffff,0.011997178147061437,0.039552357604508266,0.4558927695883346,38,9.392510096165937,10.585405864775929
89390cb5277ffff,0.0024109543973595683,0.01149676844216626,0.057862905536629636,24,7.788192651101001,9.349908247014213
89390cb527bffff,0.0005768672333273088,0.0020085325862014072,0.016152282533164645,28,6.3593441421615,7.605657429832127
89390cb5283ffff,0.0017247604189881882,0.00248285523257665,0.010348562513929129,6,7.45342305493357,7.817567161393935
89390cb528bffff,0.004086099070784989,0.004532013117259385,0.028602693495494925,7,8.315590723736591,8.419142144662535
89390cb5293ffff,0.00045198509981215584,0.0007178197331974912,0.002259925499060779,5,6.1158592326951755,6.577610607506272
89390cb5297ffff,0.0031271291667993254,0.003869846222420326,0.018762775000795952,6,8.048190394546438,8.261228424244864
89390cb529bffff,0.0011803102179745817,0.004208411601770194,0.0129834123977204,11,7.074379455688149,8.345078154858967
89390cb52afffff,0.011044254831417747,0.013893661052564553,0.022088509662835494,2,9.309756187694692,9.53925994839686
89390cb52c3ffff,0.004914850533737517,0.009978477506447198,0.0589782064048502,12,8.500220066183338,9.20828601387158
89390cb52c7ffff,0.00418090356267312,0.010257569486452928,0.04598993918940431,11,8.338521819625397,9.23586868273237
89390cb52cbffff,0.0009385844821547965,0.0013861632016301062,0.009385844821547964,10,6.845437737274597,7.235016078591172
89390cb52cfffff,0.0011068067212484417,0.005644178420198033,0.014388487376229744,13,7.010137412784463,8.638557082850982
89390cb52d3ffff,0.0009325399820622494,0.0061556878601674685,0.018650799641244987,20,6.838983792340162,8.72529422688538
89390cb52d7ffff,0.006950613460531,0.009229902257314784,0.076456748065841,11,8.846729064209983,9.130312075407907
89390cb52dbffff,0.006284812208814884,0.009128657391193607,0.07541774650577861,12,8.746050342398833,9.119283447276324
89390cb5303ffff,0.0013081350659274185,0.003040402432423828,0.03662778184596772,28,7.177121943113625,8.02007401447714
89390cb5307ffff,0.0004967896675050676,0.00169601069757076,0.0029807380050304055,6,6.210177633400414,7.436623569027415
89390cb530bffff,0.0024122799197682193,0.00515820306281639,0.04824559839536439,20,7.788742063773994,8.5485374013571
89390cb530fffff,0.00045729992465004727,0.0010777802540673056,0.0027437995479002836,6,6.127523827103211,6.983586287489706
89390cb5313ffff,0.0006283954512169356,0.001626349135598077,0.006912349963386291,11,6.44475975743059,7.394707672764939
89390cb5317ffff,0.0004120347671049699,0.0015279696902161801,0.0020601738355248496,5,6.023531771270167,7.332349382459969
89390cb531bffff,0.0011250384709265923,0.0030750421853608842,0.006750230825559553,6,7.026460974125398,8.031399044888088
89390cb532fffff,0.0025963683445297,0.003935941927473018,0.023367315100767297,9,7.8622540362334705,8.278159540383594
89390cb5343ffff,0.0028675379668247954,0.010636123404119839,0.034410455601897545,12,7.961557759730801,9.272105369587004
89390cb5347ffff,0.0005582073390024107,0.005879588652933873,0.010605939441045802,19,6.326520314943656,8.679412146925072
89390cb534bffff,0.0032326785316310613,0.0071280843070457515,0.016163392658155307,5,8.081375632484791,8.87193807697641
89390cb534fffff,0.0029619456206819703,0.008054697698112007,0.023695564965455763,8,7.993939194614725,8.99413490863374
89390cb5353ffff,0.0006182794250545533,0.002229488363207998,0.008037632525709193,13,6.4285565844865085,7.709975837432091
89390cb5357ffff,0.002295596197025724,0.0075943200993345865,0.0482075201375402,21,7.739183391425767,8.935287560202923
89390cb535bffff,0.0012698748766277184,0.009107071221624376,0.020317998026043494,16,7.147460821518675,9.116916246830744
89390cb5363ffff,0.0021863860676876058,0.010131363621891815,0.06559158203062818,30,7.6904625335325765,9.22348989893908
89390cb5367ffff,0.0028696806647776118,0.0074704702473813245,0.02869680664777612,10,7.962304446062132,8.918847079025534
89390cb536bffff,6.323028431341336e-05,0.00015804387277531918,0.00025292113725365346,4,4.162474817749292,5.069180093563238
89390cb536fffff,0.0017966745200420262,0.006269476901525041,0.02874679232067242,16,7.4942491753089495,8.743607691583776
89390cb5373ffff,0.002502153782296417,0.007843675379668248,0.06755815212200325,27,7.825306728736002,8.967590285046265
